"design","mean_n_per_group","n_per_group","sd_per_group","distribution","panel","skew","excess_kurtosis","rank_null_true","rank_rejection","ps_kw_rejection","ps_kw_mc_se","ps_ats_rejection","ps_ats_mc_se"
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04938,0.0633,0.00108897300242017,0.05144,0.000987865642686292
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.04932,0.0598,0.00106041463588542,0.0485,0.000960705469954241
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.04852,0.05996,0.00106174194981643,0.04864,0.000962020274214634
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04844,0.06006,0.00106257043437129,0.0494,0.000969119600462193
"unbalanced n, equal SD",100,"50, 80, 120, 150","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.04982,0.06158,0.0010750618921718,0.04896,0.000965017288964296
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.0319,0.03266,0.000794900300666694,0.04286,0.000905792695929924
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.03456,0.03774,0.000852240487186569,0.04554,0.000932374478415191
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.04628,0.04948,0.000969863182103538,0.0626,0.00108333965126363
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.11446,0.12112,0.00145910894452745,0.15216,0.00160628350175179
"unbalanced n, larger n with larger SD",100,"50, 80, 120, 150","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.49806,0.50244,0.00223604135203265,0.58828,0.0022009390795749
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","normal",1,0,0,TRUE,0.08332,0.12026,0.00145463076002125,0.05792,0.00104465567150138
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","F.P.",2,0,6,TRUE,0.07846,0.10742,0.00138478116393891,0.05714,0.001038027171128
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","F.P.",3,0.5,1,FALSE,0.10216,0.14564,0.00157752331456622,0.06964,0.00113833448862801
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","F.P.",4,1,1.6,FALSE,0.19272,0.2632,0.0019693946277981,0.12546,0.00148134930654454
"unbalanced n, larger n with smaller SD",100,"50, 80, 120, 150","2.2, 1.7, 1.3, 1.0","F.P.",5,2,6.6,FALSE,0.56014,0.65846,0.0021208037551834,0.3719,0.00216143651306255
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.05062,0.0503,0.000977444729895251,0.0505,0.000979282900902492
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.05004,0.04984,0.000973200641183513,0.05002,0.000974864088988819
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","F.P.",3,0.5,1,FALSE,0.05012,0.04922,0.000967443968403339,0.04946,0.000969677352525055
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","F.P.",4,1,1.6,FALSE,0.04966,0.05058,0.000980016975363182,0.05072,0.000981299970447365
"balanced n, equal SD",200,"200, 200, 200, 200","1.0, 1.0, 1.0, 1.0","F.P.",5,2,6.6,FALSE,0.05048,0.0509,0.000982946488879227,0.05102,0.000984042271449758
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","normal",1,0,0,TRUE,0.05524,0.05562,0.00102495283403677,0.0525,0.000997434208356621
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","F.P.",2,0,6,TRUE,0.05214,0.05432,0.00101360088397752,0.05244,0.000996895645491543
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","F.P.",3,0.5,1,FALSE,0.09722,0.09646,0.0013202686726572,0.09206,0.00129294204355802
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","F.P.",4,1,1.6,FALSE,0.3068,0.3073,0.00206333085083319,0.2967,0.00204288575304641
"balanced n, unequal SD",200,"200, 200, 200, 200","1.0, 1.3, 1.7, 2.2","F.P.",5,2,6.6,FALSE,0.89454,0.89354,0.00137932061827553,0.88602,0.00142118654370213
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","normal",1,0,0,TRUE,0.04892,0.06064,0.00106735926847524,0.04932,0.000968375315670531
"unbalanced n, equal SD",200,"100, 160, 240, 300","1.0, 1.0, 1.0, 1.0","F.P.",2,0,6,TRUE,0.05084,0.05974,0.00105991634009482,0.0483,0.00095882334139298
